info: ::1 - - [03/Aug/2024:09:32:39 +0000] "GET /notes/getnotes/3 HTTP/1.1" 200 62 "-" "PostmanRuntime/7.40.0"

info: ::1 - - [03/Aug/2024:09:33:00 +0000] "GET /notes/getnotes/1 HTTP/1.1" 200 172 "-" "PostmanRuntime/7.40.0"

info: ::1 - - [03/Aug/2024:09:33:04 +0000] "GET /notes/getnotes/2 HTTP/1.1" 200 173 "-" "PostmanRuntime/7.40.0"

info: ::1 - - [03/Aug/2024:09:33:11 +0000] "GET /notes/getnotes/3 HTTP/1.1" 200 62 "-" "PostmanRuntime/7.40.0"

info: ::1 - - [03/Aug/2024:09:34:08 +0000] "GET /notes/getnotes/2 HTTP/1.1" 200 173 "-" "PostmanRuntime/7.40.0"

info: ::1 - - [03/Aug/2024:09:42:34 +0000] "PUT /notes/getnotes/3 HTTP/1.1" 202 162 "-" "PostmanRuntime/7.40.0"

info: ::1 - - [03/Aug/2024:09:44:11 +0000] "PUT /notes/getnotes/2 HTTP/1.1" 202 162 "-" "PostmanRuntime/7.40.0"

info: ::1 - - [03/Aug/2024:09:44:57 +0000] "POST /users/login HTTP/1.1" 200 437 "-" "PostmanRuntime/7.40.0"

info: ::1 - - [03/Aug/2024:09:46:28 +0000] "PUT /notes/updatenotes/3 HTTP/1.1" 202 168 "-" "PostmanRuntime/7.40.0"

info: ::1 - - [03/Aug/2024:09:46:49 +0000] "PUT /notes/updatenotes/1 HTTP/1.1" 202 168 "-" "PostmanRuntime/7.40.0"

info: ::1 - - [03/Aug/2024:09:50:51 +0000] "PUT /notes/updatenotes/3 HTTP/1.1" 202 50 "-" "PostmanRuntime/7.40.0"

info: ::1 - - [03/Aug/2024:09:52:20 +0000] "PUT /notes/updatenotes/3 HTTP/1.1" - - "-" "PostmanRuntime/7.40.0"

info: ::1 - - [03/Aug/2024:09:52:32 +0000] "PUT /notes/updatenotes/3 HTTP/1.1" 202 50 "-" "PostmanRuntime/7.40.0"

info: ::1 - - [03/Aug/2024:09:53:25 +0000] "PUT /notes/updatenotes/3 HTTP/1.1" - - "-" "PostmanRuntime/7.40.0"

info: ::1 - - [03/Aug/2024:09:54:16 +0000] "PUT /notes/updatenotes/3 HTTP/1.1" - - "-" "PostmanRuntime/7.40.0"

